percent,state,county
0.0,35,039
0.0,48,301
0.0,48,033
0.0,08,111
0.0,49,009
0.4,46,049
0.7,20,171
1.4,48,243
1.6,38,073
1.8,20,179
1.8,51,610
1.8,46,083
1.9,08,097
1.9,32,011
1.9,31,005
10.0,18,007
10.0,08,031
10.0,56,037
10.0,20,119
10.0,29,205
10.0,48,295
10.0,47,055
10.0,08,027
10.0,18,039
10.0,21,139
10.0,29,195
10.0,20,173
10.0,47,119
10.0,37,059
10.0,30,069
10.0,46,047
10.0,48,389
10.0,48,499
10.0,01,115
10.0,40,081
10.0,48,337
10.0,27,105
10.0,54,035
10.0,53,025
10.0,17,119
10.0,27,083
10.0,51,620
10.0,17,105
10.0,39,151
10.0,17,075
10.1,17,171
10.1,21,239
10.1,29,167
10.1,05,039
10.1,47,043
10.1,29,207
10.1,39,139
10.1,17,199
10.1,12,045
10.1,54,003
10.1,39,027
10.1,20,191
10.1,27,071
10.1,37,189
10.1,27,123
10.1,31,165
10.1,53,051
10.1,54,095
10.1,42,033
10.1,26,131
10.1,19,197
10.1,51,155
10.1,55,003
10.1,19,025
10.1,42,065
10.1,06,035
10.1,18,093
10.1,55,123
10.1,37,167
10.1,39,093
10.1,12,053
10.1,26,007
10.1,26,095
10.1,19,185
10.1,41,013
10.2,40,045
10.2,47,089
10.2,27,021
10.2,31,151
10.2,26,023
10.2,36,029
10.2,38,083
10.2,06,023
10.2,42,039
10.2,01,009
10.2,36,019
10.2,39,143
10.2,17,109
10.2,39,077
10.2,47,093
10.2,01,083
10.2,13,311
10.2,51,191
10.2,19,067
10.2,21,055
10.2,19,187
10.3,37,087
10.3,13,207
10.3,41,039
10.3,26,157
10.3,29,063
10.3,48,319
10.3,48,477
10.3,16,027
10.3,35,043
10.3,47,031
10.3,17,035
10.3,36,049
10.3,19,051
10.3,27,173
10.3,48,257
10.3,54,075
10.3,18,049
10.3,48,097
10.3,35,021
10.3,46,033
10.3,18,017
10.3,26,159
10.3,22,023
10.3,51,159
10.3,35,027
10.3,31,087
10.3,49,041
10.3,53,009
10.3,56,017
10.3,01,041
10.3,12,011
10.3,37,129
10.3,42,035
10.3,26,075
10.4,49,023
10.4,49,013
10.4,37,039
10.4,42,059
10.4,18,077
10.4,24,011
10.4,53,027
10.4,48,283
10.4,20,081
10.4,48,421
10.4,37,069
10.4,48,239
10.4,39,003
10.4,36,055
10.4,42,021
10.4,10,001
10.5,48,297
10.5,13,097
10.5,06,053
10.5,42,073
10.5,13,123
10.5,32,003
10.5,12,005
10.5,17,191
10.5,41,043
10.5,21,167
10.5,18,003
10.5,21,061
10.5,41,061
10.5,47,155
10.5,13,015
10.5,48,475
10.5,26,031
10.5,37,049
10.5,29,211
10.5,21,123
10.5,16,039
10.5,12,131
10.5,16,083
10.5,21,111
10.5,39,029
10.5,39,147
10.5,36,081
10.5,17,091
10.5,01,077
10.5,39,033
10.5,01,007
10.5,48,443
10.5,29,163
10.5,47,035
10.6,06,011
10.6,18,055
10.6,05,045
10.6,48,181
10.6,51,083
10.6,47,133
10.6,19,123
10.6,31,119
10.6,04,013
10.6,31,075
10.6,55,105
10.6,28,041
10.6,36,105
10.6,08,083
10.6,41,071
10.6,42,013
10.6,13,083
10.6,26,039
10.6,12,001
10.6,29,175
10.6,38,043
10.6,27,159
10.6,40,123
10.6,40,049
10.6,47,179
10.6,20,049
10.6,36,085
10.6,17,061
10.6,50,015
10.6,16,041
10.6,21,093
10.7,31,079
10.7,42,069
10.7,23,017
10.7,20,057
10.7,48,175
10.7,29,199
10.7,01,067
10.7,40,147
10.7,17,137
10.7,08,033
10.7,17,175
10.7,36,007
10.7,49,005
10.7,48,077
10.7,42,085
10.7,38,027
10.7,48,143
10.7,20,035
10.7,51,185
10.7,41,047
10.7,24,001
10.8,51,570
10.8,13,139
10.8,16,013
10.8,26,151
10.8,36,015
10.8,06,089
10.8,31,047
10.8,29,007
10.8,27,155
10.8,48,211
10.8,18,075
10.8,39,031
10.8,18,103
10.8,13,257
10.8,12,111
10.8,48,165
10.8,18,135
10.8,55,051
10.8,37,115
10.8,20,005
10.9,02,198
10.9,48,413
10.9,37,175
10.9,04,005
10.9,17,017
10.9,47,117
10.9,17,167
10.9,16,021
10.9,54,033
10.9,48,365
10.9,51,111
10.9,48,099
10.9,31,061
10.9,47,125
10.9,36,035
10.9,53,049
10.9,37,077
10.9,45,057
10.9,37,133
10.9,48,285
10.9,20,009
10.9,41,001
10.9,45,083
10.9,36,009
10.9,29,121
10.9,30,053
10.9,34,001
10.9,40,149
11.0,18,079
11.0,56,041
11.0,19,039
11.0,16,031
11.0,42,049
11.0,12,023
11.0,13,137
11.0,13,029
11.0,48,307
11.0,42,079
11.0,26,105
11.0,21,097
11.0,29,095
11.0,48,353
11.0,47,159
11.0,18,175
11.0,20,021
11.0,21,005
11.1,19,057
11.1,08,125
11.1,48,049
11.1,45,017
11.1,18,165
11.1,05,143
11.1,37,143
11.1,20,061
11.1,12,003
11.1,40,047
11.1,17,041
11.1,29,185
11.1,48,027
11.1,05,009
11.1,19,133
11.1,20,063
11.1,41,049
11.1,53,065
11.1,12,017
11.1,48,069
11.1,08,043
11.1,12,043
11.1,39,067
11.1,26,149
11.1,16,047
11.1,29,123
11.1,26,013
11.2,13,121
11.2,26,127
11.2,17,095
11.2,12,077
11.2,26,059
11.2,28,073
11.2,12,057
11.2,29,169
11.2,54,085
11.2,39,167
11.2,01,125
11.2,31,017
11.2,48,291
11.2,48,441
11.2,41,041
11.2,22,077
11.2,40,013
11.2,13,039
11.2,29,077
11.2,20,089
11.2,48,357
11.2,18,021
11.2,26,113
11.2,48,341
11.2,47,175
11.2,48,275
11.3,41,031
11.3,41,019
11.3,18,141
11.3,06,065
11.3,37,109
11.3,40,137
11.3,01,017
11.3,37,151
11.3,51,067
11.3,08,065
11.3,40,039
11.3,51,197
11.3,29,033
11.3,48,271
11.3,29,001
11.3,29,079
11.3,22,113
11.3,13,281
11.3,47,145
11.3,26,069
11.3,20,011
11.4,22,055
11.4,28,015
11.4,40,143
11.4,26,097
11.4,37,139
11.4,19,111
11.4,54,071
11.4,21,049
11.4,26,001
11.4,37,009
11.4,20,055
11.4,51,650
11.4,39,023
11.4,31,133
11.4,37,171
11.4,48,001
11.4,54,021
11.4,29,187
11.4,16,005
11.4,17,031
11.4,36,073
11.4,48,469
11.4,45,079
11.5,47,051
11.5,05,053
11.5,28,161
11.5,40,031
11.5,18,143
11.5,41,029
11.5,40,117
11.5,26,119
11.5,29,029
11.5,28,057
11.5,39,101
11.5,13,011
11.5,17,161
11.5,26,165
11.5,37,127
11.5,39,061
11.5,48,169
11.5,48,217
11.5,41,063
11.5,19,047
11.5,06,007
11.5,54,051
11.5,22,093
11.5,37,169
11.6,17,057
11.6,40,057
11.6,40,113
11.6,16,079
11.6,30,061
11.6,13,051
11.6,04,015
11.6,17,201
11.6,13,169
11.6,51,011
11.6,49,017
11.6,01,031
11.6,08,071
11.6,17,143
11.6,48,399
11.6,53,015
11.6,48,473
11.6,48,019
11.6,21,187
11.6,45,007
11.6,48,287
11.7,17,135
11.7,42,083
11.7,37,003
11.7,23,003
11.7,48,203
11.7,21,141
11.7,12,065
11.7,12,031
11.7,45,051
11.7,37,057
11.7,40,043
11.7,18,105
11.7,47,103
11.7,08,077
11.7,51,131
11.7,23,021
11.7,37,113
11.7,48,035
11.7,29,115
11.7,18,065
11.7,01,043
11.7,39,049
11.7,54,077
11.8,17,115
11.8,21,017
11.8,21,067
11.8,06,067
11.8,05,013
11.8,48,331
11.8,51,147
11.8,37,043
11.8,32,027
11.8,05,055
11.8,48,233
11.8,40,095
11.8,08,029
11.8,05,033
11.8,48,193
11.8,48,303
11.8,51,001
11.8,16,043
11.8,29,105
11.8,26,065
11.8,37,071
11.8,48,423
11.8,30,109
11.8,37,105
11.8,48,177
11.8,26,073
11.8,48,313
11.8,51,081
11.8,21,033
11.8,28,059
11.8,48,237
11.8,21,089
11.8,22,057
11.9,48,241
11.9,37,063
11.9,48,343
11.9,30,087
11.9,24,019
11.9,20,007
11.9,45,081
11.9,54,091
11.9,41,025
11.9,15,001
11.9,47,121
11.9,36,025
11.9,37,197
11.9,51,139
11.9,17,145
11.9,36,003
11.9,46,027
11.9,28,071
11.9,48,369
11.9,40,125
11.9,37,081
11.9,35,019
11.9,18,025
11.9,48,007
11.9,48,487
11.9,46,023
12.0,05,117
12.0,21,213
12.0,48,445
12.0,17,153
12.0,26,017
12.0,01,029
12.0,22,121
12.0,05,063
12.0,48,013
12.0,22,051
12.0,17,181
12.0,40,025
12.0,12,083
12.0,47,167
12.0,29,225
12.0,30,065
12.0,54,073
12.0,47,003
12.0,51,700
12.0,48,075
12.0,21,161
12.0,01,001
12.0,30,037
12.1,41,069
12.1,39,015
12.1,21,059
12.1,37,099
12.1,37,173
12.1,32,023
12.1,20,043
12.1,48,123
12.1,26,053
12.1,49,007
12.1,51,660
12.1,28,081
12.1,20,001
12.1,47,085
12.1,35,015
12.1,17,163
12.1,36,065
12.1,13,213
12.1,40,139
12.1,47,011
12.1,29,015
12.1,29,039
12.1,51,029
12.1,30,093
12.2,18,091
12.2,05,075
12.2,06,037
12.2,46,055
12.2,08,085
12.2,26,117
12.2,18,177
12.2,53,021
12.2,30,101
12.2,35,059
12.2,40,037
12.2,29,075
12.2,44,007
12.2,54,049
12.2,31,117
12.2,17,053
12.2,45,037
12.2,05,121
12.2,05,065
12.3,13,089
12.3,26,135
12.3,21,007
12.3,48,457
12.3,12,095
12.3,22,033
12.3,21,149
12.3,54,057
12.3,21,227
12.3,48,333
12.3,20,159
12.3,17,125
12.3,48,151
12.3,22,125
12.3,37,159
12.3,29,035
12.3,29,017
12.3,29,139
12.3,13,149
12.3,32,015
12.3,48,267
12.3,21,191
12.3,05,119
12.3,48,093
12.3,05,079
12.3,22,011
12.3,28,145
12.4,13,247
12.4,01,133
12.4,51,143
12.4,18,071
12.4,29,159
12.4,17,025
12.4,04,019
12.4,40,019
12.4,48,213
12.4,27,029
12.4,45,055
12.4,29,213
12.4,47,037
12.4,48,219
12.4,30,023
12.4,30,077
12.4,26,021
12.4,21,145
12.4,48,351
12.5,18,163
12.5,12,105
12.5,28,095
12.5,01,019
12.5,48,179
12.5,26,121
12.5,01,103
12.5,40,121
12.5,48,231
12.5,39,111
12.5,26,011
12.5,18,139
12.5,55,041
12.5,40,109
12.5,16,007
12.5,47,163
12.5,02,013
12.5,47,015
12.5,48,355
12.5,39,119
12.5,39,065
12.5,16,023
12.5,13,153
12.5,37,185
12.5,29,117
12.6,29,109
12.6,41,011
12.6,26,145
12.6,19,179
12.6,21,077
12.6,06,105
12.6,48,029
12.6,05,105
12.6,01,033
12.6,56,045
12.6,05,051
12.6,36,089
12.6,48,161
12.6,23,025
12.6,51,820
12.6,29,085
12.6,47,141
12.6,29,021
12.6,39,081
12.7,22,111
12.7,54,107
12.7,30,103
12.7,45,073
12.7,36,061
12.7,22,015
12.7,28,131
12.7,06,099
12.7,37,067
12.7,37,001
12.7,21,101
12.7,51,540
12.7,13,195
12.7,08,109
12.7,06,077
12.7,18,083
12.8,05,145
12.8,05,109
12.8,01,081
12.8,45,043
12.8,37,085
12.8,28,141
12.8,26,107
12.8,29,097
12.8,18,123
12.8,18,001
12.8,30,089
12.8,23,029
12.8,20,107
12.8,05,137
12.8,05,037
12.8,39,047
12.8,39,141
12.9,48,363
12.9,35,001
12.9,48,289
12.9,47,081
12.9,29,103
12.9,48,315
12.9,51,740
12.9,34,011
12.9,26,153
12.9,40,033
12.9,45,003
12.9,47,185
12.9,55,113
12.9,36,075
12.9,37,145
12.9,28,109
12.9,18,089
12.9,26,129
12.9,46,005
12.9,11,001
12.9,31,045
13.0,21,087
13.0,41,033
13.0,20,133
13.0,48,309
13.0,26,025
13.0,40,119
13.0,26,079
13.0,48,055
13.0,40,105
13.0,51,750
13.0,37,117
13.0,29,131
13.0,29,186
13.0,34,017
13.0,05,029
13.0,18,167
13.0,18,035
13.1,26,051
13.1,48,455
13.1,13,295
13.1,27,007
13.1,42,051
13.1,01,093
13.1,18,067
13.1,28,129
13.1,22,019
13.1,05,031
13.1,01,091
13.1,47,139
13.1,36,033
13.1,21,079
13.1,47,161
13.1,48,125
13.1,37,111
13.1,21,229
13.1,19,053
13.2,18,095
13.2,54,039
13.2,20,125
13.2,51,580
13.2,26,123
13.2,13,313
13.2,48,041
13.2,01,073
13.2,04,003
13.2,40,071
13.2,37,027
13.2,47,023
13.2,29,127
13.2,54,025
13.2,49,031
13.3,05,019
13.3,47,059
13.3,47,075
13.3,06,093
13.3,26,143
13.3,37,033
13.3,29,147
13.3,37,161
13.3,45,071
13.3,28,139
13.3,26,033
13.3,06,101
13.3,12,121
13.3,29,059
13.3,21,151
13.3,05,115
13.3,29,179
13.3,21,177
13.3,21,083
13.3,48,113
13.3,39,155
13.3,36,013
13.3,12,055
13.4,49,021
13.4,25,013
13.4,48,185
13.4,54,013
13.4,12,097
13.4,01,055
13.4,53,019
13.4,48,201
13.4,54,027
13.4,21,107
13.4,01,079
13.4,17,029
13.4,13,263
13.4,39,113
13.4,20,099
13.4,05,059
13.5,18,117
13.5,08,055
13.5,21,035
13.5,06,045
13.5,01,045
13.5,48,223
13.5,40,021
13.5,20,037
13.5,47,183
13.5,48,409
13.5,47,001
13.5,13,221
13.5,34,013
13.5,47,053
13.5,45,065
13.5,13,045
13.5,48,087
13.6,16,025
13.6,13,147
13.6,47,017
13.6,48,083
13.6,51,169
13.6,22,047
13.6,54,067
13.6,12,041
13.6,16,087
13.6,37,013
13.6,13,049
13.6,34,031
13.6,05,149
13.6,35,025
13.6,54,081
13.6,30,107
13.6,28,111
13.6,48,277
13.6,40,097
13.7,39,035
13.7,28,115
13.7,22,115
13.7,46,109
13.7,48,485
13.7,02,164
13.7,39,099
13.7,06,071
13.7,20,093
13.7,40,127
13.7,51,680
13.7,21,069
13.7,16,053
13.7,48,067
13.7,51,133
13.8,40,063
13.8,26,057
13.8,40,035
13.8,20,207
13.8,48,037
13.8,41,059
13.8,27,087
13.8,51,173
13.8,01,039
13.8,37,023
13.8,21,027
13.8,13,143
13.8,48,481
13.9,47,033
13.9,48,183
13.9,17,051
13.9,47,101
13.9,28,003
13.9,17,101
13.9,13,283
13.9,48,495
13.9,47,005
13.9,54,063
13.9,21,113
13.9,31,043
13.9,22,085
14.0,47,077
14.0,28,037
14.0,01,069
14.0,05,087
14.0,35,055
14.0,40,065
14.0,54,083
14.0,41,035
14.0,40,041
14.0,08,105
14.0,17,121
14.1,21,081
14.1,16,067
14.1,40,069
14.1,13,183
14.1,48,063
14.1,38,069
14.1,39,131
14.1,17,127
14.1,29,161
14.1,17,081
14.1,18,097
14.1,47,041
14.1,47,057
14.1,26,133
14.1,51,183
14.1,48,463
14.2,28,093
14.2,48,373
14.2,51,049
14.2,05,089
14.2,30,015
14.2,39,007
14.2,47,099
14.2,53,077
14.2,16,033
14.2,05,141
14.2,51,117
14.2,48,471
14.2,39,163
14.2,37,157
14.3,01,111
14.3,20,019
14.3,22,043
14.3,47,115
14.3,48,227
14.3,47,039
14.3,13,053
14.3,26,085
14.3,08,099
14.3,53,047
14.3,13,055
14.3,47,153
14.3,29,065
14.3,01,127
14.3,13,305
14.4,21,103
14.4,17,059
14.4,37,075
14.4,48,189
14.4,13,159
14.4,54,011
14.4,16,045
14.4,29,083
14.4,13,233
14.5,13,217
14.5,29,057
14.5,40,061
14.5,05,129
14.5,13,241
14.5,48,461
14.5,48,073
14.5,20,175
14.5,08,101
14.5,29,009
14.5,39,095
14.5,06,021
14.5,37,123
14.5,25,025
14.6,51,135
14.6,48,245
14.6,13,127
14.6,21,023
14.6,21,011
14.6,54,105
14.6,21,155
14.6,22,099
14.6,01,015
14.6,05,047
14.6,05,001
14.6,47,063
14.6,47,045
14.6,22,101
14.6,48,293
14.6,39,127
14.7,37,051
14.7,30,047
14.7,13,125
14.7,47,087
14.7,05,127
14.7,19,137
14.7,47,137
14.7,40,055
14.7,47,013
14.7,47,123
14.7,29,055
14.7,51,141
14.7,12,086
14.7,13,179
14.8,28,117
14.8,05,025
14.8,51,037
14.8,01,027
14.8,29,067
14.8,47,071
14.8,47,113
14.8,13,115
14.8,37,199
14.8,47,079
14.8,01,059
14.8,29,171
14.8,45,041
14.9,39,087
14.9,48,387
14.9,05,131
14.9,48,349
14.9,06,103
14.9,48,483
14.9,21,019
14.9,01,109
14.9,13,133
14.9,20,039
14.9,54,055
14.9,45,021
15.0,01,097
15.0,17,183
15.0,51,710
15.0,13,191
15.0,47,069
15.0,01,057
15.0,18,053
15.0,45,053
15.0,45,049
15.0,48,195
15.0,37,147
15.1,47,109
15.1,26,049
15.1,48,153
15.1,13,009
15.1,54,053
15.1,05,061
15.1,48,005
15.1,30,041
15.1,48,391
15.1,29,081
15.2,20,181
15.2,22,007
15.2,17,077
15.2,55,079
15.2,28,077
15.2,01,075
15.2,17,055
15.2,47,107
15.2,18,041
15.2,13,007
15.2,28,023
15.2,06,115
15.2,21,183
15.2,54,087
15.3,13,105
15.3,13,155
15.3,41,037
15.3,54,019
15.3,36,057
15.3,22,091
15.3,01,021
15.3,35,033
15.3,21,219
15.3,04,007
15.4,01,113
15.4,08,009
15.4,37,193
15.4,12,037
15.4,39,079
15.4,22,079
15.4,47,073
15.4,48,133
15.4,22,003
15.4,47,007
15.4,21,003
15.4,29,223
15.5,45,059
15.5,35,017
15.5,21,001
15.5,39,071
15.5,13,315
15.5,40,133
15.6,29,119
15.6,21,047
15.6,12,007
15.6,40,077
15.6,51,005
15.6,54,103
15.6,21,031
15.6,51,520
15.6,47,111
15.6,05,135
15.7,48,347
15.7,51,025
15.7,48,117
15.7,51,167
15.7,48,105
15.7,47,157
15.7,05,097
15.8,01,121
15.8,46,085
15.8,13,023
15.8,39,115
15.8,29,011
15.8,21,099
15.8,16,037
15.9,24,039
15.9,40,101
15.9,21,223
15.9,06,015
15.9,22,037
16.0,51,077
16.0,05,071
16.0,51,770
16.0,37,041
16.0,35,061
16.0,39,059
16.0,40,115
16.0,21,233
16.0,40,005
16.0,28,045
16.0,01,123
16.0,40,015
16.0,21,039
16.0,37,045
16.1,47,091
16.1,51,089
16.1,22,123
16.1,13,215
16.1,13,199
16.1,20,209
16.1,02,070
16.1,29,201
16.1,37,007
16.1,40,091
16.1,05,139
16.2,01,095
16.2,35,005
16.2,28,019
16.2,45,085
16.3,51,195
16.3,29,023
16.3,48,375
16.3,40,129
16.3,54,007
16.3,48,249
16.3,30,073
16.3,28,107
16.3,04,012
16.3,01,101
16.3,01,129
16.3,21,181
16.3,37,195
16.3,13,129
16.3,04,009
16.4,40,111
16.4,47,129
16.4,29,091
16.4,06,033
16.4,05,133
16.4,21,197
16.4,12,063
16.4,35,037
16.4,12,075
16.4,35,035
16.4,45,023
16.4,48,305
16.5,21,009
16.5,01,071
16.5,22,109
16.5,05,043
16.5,22,095
16.5,46,037
16.5,20,189
16.5,28,105
16.5,13,209
16.5,13,171
16.5,28,047
16.5,08,021
16.5,26,035
16.6,24,510
16.6,13,285
16.6,29,215
16.6,48,321
16.6,28,067
16.6,39,001
16.6,13,167
16.6,37,015
16.6,12,123
16.6,05,003
16.6,48,449
16.6,13,063
16.6,06,031
16.7,35,045
16.7,08,003
16.7,13,267
16.7,45,029
16.8,05,111
16.8,45,001
16.8,39,105
16.8,13,255
16.8,12,029
16.8,05,083
16.8,29,093
16.8,22,105
16.9,40,141
16.9,54,041
16.9,06,039
16.9,47,143
16.9,28,075
16.9,05,021
16.9,48,119
16.9,29,221
16.9,37,093
16.9,21,171
17.0,13,131
17.0,46,123
17.0,21,053
17.0,48,107
17.0,01,049
17.0,48,207
17.0,12,093
17.0,28,125
17.0,47,181
17.0,37,191
17.0,48,255
17.0,28,049
17.0,47,171
17.1,39,053
17.1,13,275
17.1,41,045
17.1,13,279
17.1,35,053
17.1,16,073
17.1,45,047
17.1,36,047
17.2,28,127
17.2,21,173
17.2,28,085
17.2,22,075
17.2,13,201
17.3,22,087
17.3,54,097
17.3,54,109
17.3,05,011
17.3,35,009
17.3,40,079
17.3,21,115
17.3,45,039
17.3,22,053
17.3,45,031
17.3,29,141
17.4,45,025
17.4,29,149
17.4,54,099
17.4,48,465
17.4,13,293
17.4,48,163
17.4,01,035
17.4,28,149
17.4,13,321
17.4,40,067
17.4,37,131
17.4,45,061
17.4,39,009
17.5,04,027
17.5,35,007
17.5,01,107
17.5,32,021
17.5,40,075
17.5,47,177
17.6,48,115
17.6,18,155
17.6,13,001
17.6,37,163
17.6,12,039
17.6,22,021
17.6,13,299
17.6,37,061
17.6,48,403
17.6,12,125
17.6,37,047
17.6,47,131
17.6,05,035
17.7,51,590
17.7,22,017
17.7,22,045
17.7,48,437
17.7,51,760
17.7,28,153
17.7,05,067
17.7,13,181
17.7,37,079
17.7,12,133
17.8,54,015
17.8,05,147
17.8,13,197
17.8,22,071
17.8,22,025
17.8,40,107
17.8,01,023
17.8,47,019
17.8,51,530
17.8,01,061
17.8,35,057
17.8,26,163
17.8,39,145
17.9,48,225
17.9,45,087
17.9,21,165
17.9,05,069
17.9,01,053
17.9,13,031
18.0,37,181
18.0,06,029
18.0,08,025
18.1,13,225
18.1,05,091
18.1,13,059
18.1,05,095
18.1,37,005
18.1,47,025
18.1,21,057
18.1,56,027
18.1,48,141
18.2,13,205
18.2,28,087
18.2,28,035
18.2,21,199
18.2,29,153
18.2,17,165
18.2,54,001
18.2,45,067
18.2,13,251
18.3,05,049
18.3,45,027
18.3,54,043
18.3,37,187
18.3,12,107
18.3,13,245
18.3,45,009
18.3,21,217
18.3,28,137
18.4,28,043
18.4,22,009
18.4,35,047
18.4,13,185
18.4,01,025
18.4,51,670
18.5,05,073
18.5,35,051
18.5,47,151
18.5,22,061
18.5,13,317
18.5,48,273
18.5,13,075
18.6,40,089
18.6,37,107
18.6,28,159
18.6,13,069
18.6,47,049
18.6,29,510
18.6,28,013
18.6,37,177
18.6,13,161
18.6,21,169
18.7,28,017
18.7,13,277
18.8,13,107
18.8,13,141
18.8,37,103
18.8,40,135
18.8,21,203
18.9,01,013
18.9,48,405
18.9,22,127
18.9,21,085
18.9,51,105
18.9,22,073
18.9,40,029
18.9,53,001
19.0,05,077
19.0,21,137
19.0,54,089
19.0,28,099
19.0,13,229
19.0,05,113
19.0,06,047
19.0,28,029
19.0,13,079
19.1,21,205
19.1,13,163
19.1,13,035
19.1,47,097
19.1,21,231
19.1,21,125
19.1,22,069
19.1,45,075
19.1,05,057
19.2,48,279
19.2,21,207
19.2,13,289
19.2,45,089
19.2,48,079
19.2,29,143
19.3,47,061
19.3,13,019
19.3,37,065
19.3,13,307
19.3,22,001
19.4,49,037
19.4,47,173
19.4,48,101
19.4,05,103
19.5,21,201
19.5,28,025
19.5,54,045
19.6,29,229
19.6,47,027
19.6,42,101
19.7,06,019
19.7,48,429
19.7,13,119
19.7,22,117
19.7,28,143
19.7,37,091
19.8,13,265
19.8,28,079
19.8,37,153
19.8,01,087
19.9,22,031
19.9,51,595
19.9,13,319
19.9,04,023
19.9,28,061
19.9,47,029
19.9,12,049
19.9,13,175
19.9,37,083
2.1,27,019
2.2,02,282
2.2,51,045
2.2,38,075
2.3,38,081
2.3,51,107
2.3,08,035
2.3,20,067
2.3,51,600
2.4,46,117
2.4,02,060
2.4,56,039
2.5,20,167
2.5,08,014
2.5,30,019
2.5,26,089
2.5,51,065
2.5,55,109
2.6,46,063
2.6,25,007
2.6,48,431
2.6,08,093
2.7,29,151
2.7,46,119
2.8,09,013
2.8,38,103
2.8,02,068
2.8,30,033
2.8,34,027
2.8,36,079
2.9,08,047
2.9,20,033
2.9,27,025
2.9,46,129
2.9,47,187
2.9,27,171
20.0,22,049
20.0,02,290
20.1,22,081
20.1,01,065
20.2,51,730
20.2,13,165
20.2,22,119
20.3,05,093
20.3,13,021
20.3,13,025
20.3,13,071
20.3,08,089
20.3,02,180
20.4,05,123
20.4,22,059
20.4,13,033
20.5,48,419
20.5,12,027
20.5,29,155
20.5,13,091
20.5,13,189
20.6,13,173
20.6,21,235
20.7,45,011
20.7,29,181
20.7,28,101
20.7,29,069
20.7,13,249
20.7,37,017
20.7,21,045
20.8,54,005
20.8,47,067
20.9,28,155
20.9,28,031
20.9,01,131
20.9,45,005
20.9,48,191
21.0,06,025
21.0,48,025
21.0,12,059
21.1,21,043
21.1,13,005
21.2,22,039
21.2,21,175
21.3,13,087
21.3,51,051
21.3,01,119
21.3,35,041
21.3,28,007
21.4,06,107
21.5,21,127
21.5,13,303
21.5,28,065
21.5,01,005
21.5,13,093
21.5,13,235
21.5,28,009
21.6,47,095
21.6,47,135
21.6,48,131
21.7,13,301
21.7,31,173
