year,income,county
2010,29080,Dickenson
2011,30556,Dickenson
2012,32622,Dickenson
2013,33318,Dickenson
2014,33106,Dickenson
2015,33624,Dickenson
2016,31226,Dickenson
2017,29916,Dickenson
2018,29226,Dickenson
2019,29932,Dickenson
2010,105416,Fairfax
2011,108439,Fairfax
2012,109383,Fairfax
2013,110292,Fairfax
2014,112102,Fairfax
2015,112552,Fairfax
2016,114329,Fairfax
2017,117515,Fairfax
2018,121133,Fairfax
2019,124831,Fairfax
2010,115574,Loudoun
2011,120096,Loudoun
2012,122068,Loudoun
2013,122238,Loudoun
2014,123966,Loudoun
2015,123453,Loudoun
2016,125672,Loudoun
2017,129588,Loudoun
2018,136268,Loudoun
2019,142299,Loudoun
2010,61406,Virginia
2011,63302,Virginia
2012,63636,Virginia
2013,63907,Virginia
2014,64792,Virginia
2015,65015,Virginia
2016,66149,Virginia
2017,68766,Virginia
2018,71564,Virginia
2019,74222,Virginia
2010,51914,US
2011,52762,US
2012,53046,US
2013,53046,US
2014,53482,US
2015,53889,US
2016,55322,US
2017,57652,US
2018,60293,US
2019,62843,US